imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0002130,L'Inferno,L'Inferno,1911,1911-03-06,"Adventure, Drama, Fantasy",68,Italy,Italian,"Francesco Bertolini, Adolfo Padovan",Dante Alighieri,Milano Film,"Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta",Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,7.0,2237,,,,,31.0,14.0,29,l'inferno
tt0003740,Cabiria,Cabiria,1914,1914-04-18,"Adventure, Drama, History",148,Italy,Italian,Giovanni Pastrone,"Gabriele D'Annunzio, Titus Livius",Itala Film,"Carolina Catena, Lidia Quaranta, Gina Marangoni, Dante Testa, Umberto Mozzato, Bartolomeo Pagano, Raffaele di Napoli, Emilio Vardannes, Edoardo Davesnes, Italia Almirante-Manzini, Alex Bernard, Luigi Chellini, Vitale Di Stefano, Enrico Gemelli, Ignazio Lupi","Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.",7.1,3073,$ 210000,,,,31.0,26.0,43,cabiria
tt0004099,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz",1914,1914-10-14,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward, Raymond Russell, Arthur Smollet, J. Charles Haydon, Todd Wright, Vivian Reed, Mai Wells, Mildred Harris, Louise Emmons, Jacqueline Lovell","A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...",5.2,415,$ 23500,,,,11.0,7.0,32,"his majesty, the scarecrow of oz"
tt0004457,The Patchwork Girl of Oz,The Patchwork Girl of Oz,1914,1914-09-28,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Raymond Russell, Leontine Dranet, Bobbie Gould, Marie Wayne, Richard Rosson, Frank Bristol, Fred Woodward, Todd Wright, Bert Glennon, Hal Roach, Dave Anderson, Jessie May Walsh, William Cook","Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr....",5.5,382,,,,,16.0,5.0,38,the patchwork girl of oz
tt0004465,The Perils of Pauline,The Perils of Pauline,1914,1914-03-23,"Action, Adventure, Drama",199,USA,English,"Louis J. Gasnier, Donald MacKenzie","Charles W. Goddard, Basil Dickey",Pathé Frères,"Pearl White, Crane Wilbur, Paul Panzer, Edward José, Francis Carlyle, Clifford Bruce, Donald MacKenzie, Jack Standing, Eleanor Woodruff, Leroy Baker, Louise Du Pre, Oscar Nye, Sam J. Ryan, Louis J. Gasnier, Joe Cuny","Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",6.3,939,$ 25000,,,,5.0,8.0,34,the perils of pauline
tt0004873,Alice in Wonderland,Alice in Wonderland,1915,1915-01-19,"Adventure, Family, Fantasy",52,USA,English,W.W. Young,"Lewis Carroll, W.W. Young",Nonpareil Feature Film Corp.,"Viola Savoy, Herbert Rice, Harry Marks, Louis Merkle, William Tilden",Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.,6.2,394,$ 50000,,,,11.0,8.0,27,alice in wonderland
tt0005680,Maciste,Maciste,1915,1915,Adventure,67,Italy,Italian,"Luigi Romano Borgnetto, Vincenzo Denizot","Agnes Fletcher Bain, Giovanni Pastrone",Itala Film,"Bartolomeo Pagano, Leone Papa, Clementina Gay, Amelia Chellini, Didaco Chellini, Ada Marangoni","A young girl, pursued by a band of conspirators, hides in a movie theatre where she watches the film Cabiria. She determines to seek the aid of that film's strongman, Maciste. When she ...",5.9,130,,,,,3.0,5.0,34,maciste
tt0006206,I vampiri,Les vampires,1915,1915-11-13,"Action, Adventure, Crime",421,France,French,Louis Feuillade,Louis Feuillade,Société des Etablissements L. Gaumont,"Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé, Fernand Herrmann, Stacia Napierkowska, Renée Carl, Suzanne Delvé, Georgette Faraboni, Jacques Feyder, Fridolin, Rita Herlor, Émile Keppens, Louise Lagrange, Suzanne Le Bret",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,7.3,4166,,,,,25.0,53.0,18,les vampires
tt0006688,Flirting with Fate,Flirting with Fate,1916,1916-07-09,"Adventure, Comedy",57,USA,English,Christy Cabanne,Robert M. Baker,Fine Arts Film Company,"Douglas Fairbanks, Jewel Carmen, Howard Gaye, W.E. Lawrence, George Beranger, Dorothy Haydel, Lillian Langdon, Wilbur Higby, J.P. McCarty","In the midst of an emotional depression, a man hires a murderer to kill him. But the despair soon passes, and the man must now escape the killer he's hired to end his life.",6.4,143,,,,,6.0,3.0,34,flirting with fate
tt0006886,Judex,Judex,1916,1917-01-19,"Adventure, Crime",300,France,French,Louis Feuillade,"Arthur Bernède, Louis Feuillade",Société des Etablissements L. Gaumont,"René Cresté, Musidora, René Poyen, Édouard Mathé, Gaston Michel, Yvonne Dario, Yvette Andréyor, Juliette Clarens, Jean Devalde, Georges Flateau, Louis Leubas, Marcel Lévesque, Olinda Mano",A twelve part serial following the adventures of the masked vigilante Judex as he fights against criminals led by the corrupt banker Favrauxom.,7.4,867,,,,,11.0,15.0,23,judex
