imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0015532,Le avventure del principe Achmed,Die Abenteuer des Prinzen Achmed,1926,1928,"Animation, Adventure, Family",80,Germany,None,"Lotte Reiniger, Carl Koch",,Comenius-Film GmbH,,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",7.8,5253,,,$ 100156,,47.0,47.0,31,die abenteuer des prinzen achmed
tt0021309,Una volpe a corte,Le roman de Renard,1937,1948-03-16,"Animation, Adventure, Comedy",63,France,French,"Irene Starewicz, Wladyslaw Starewicz","Jean Nohain, Antoinette Nordmann",Wladyslaw Starewicz Production,"Claude Dauphin, Romain Bouquet, Sylvain Itkine, Léon Larive, Robert Seller, Eddy Debray, Nicolas Amato, Pons, Sylvia Bataille, Suzy Dornac, Jaime Plama, Marcel Raine","When Renard the Fox's mischievous pranks go too far, King Lion is forced to attempt to bring the trickster to justice.",7.8,1135,,,$ 2094,,10.0,7.0,21,le roman de renard
tt0025263,La grande festa,Hollywood Party,1934,1934-06-01,"Animation, Comedy, Musical",68,USA,English,"Richard Boleslawski, Allan Dwan","Howard Dietz, Arthur Kober",Metro-Goldwyn-Mayer (MGM),"Stan Laurel, Oliver Hardy, Jimmy Durante, Jack Pearl, Polly Moran, Charles Butterworth, Eddie Quillan, June Clyde, Lupe Velez, George Givot, Richard Carle","Jimmy Durante is jungle star Schnarzan the Conqueror, but the public is tiring of his fake lions. So when Baron Munchausen comes to town with real man-eating lions, Durante throws a big ...",6.2,768,,,,,36.0,17.0,33,hollywood party
tt0026793,Il nuovo Gulliver,Novyy Gulliver,1935,1935-03-25,"Animation, Adventure, Comedy",75,Soviet Union,Russian,Aleksandr Ptushko,"Samuel Bolotin, Aleksandr Ptushko",Mosfilm,"Vladimir Konstantinov, Ivan Yudin, Ivan Bobrov, Fyodor Brest, Mikhail Dagmarov, Yuri Khmelnitsky","While hearing the story of ""Gulliver's Travels"", a young Russian boy dreams that he is the title character on the island of Lilliput.",6.7,251,,,,,3.0,4.0,23,novyy gulliver
tt0029583,Biancaneve e i sette nani,Snow White and the Seven Dwarfs,1937,1938-11-30,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,"Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell, Bill Thompson","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.6,177157,$ 1499000,$ 184925486,$ 184925486,95.0,260.0,173.0,24,snow white and the seven dwarfs
tt0029912,The Big Broadcast of 1938,The Big Broadcast of 1938,1938,1938-03-09,"Animation, Comedy, Musical",91,USA,English,"Mitchell Leisen, James P. Hogan","Walter DeLeon, Francis Martin",Paramount Pictures,"W.C. Fields, Martha Raye, Dorothy Lamour, Shirley Ross, Lynne Overman, Bob Hope, Ben Blue, Leif Erickson, Patricia Wilder, Grace Bradley, Rufe Davis, Lionel Pape, Virginia Vale, Russell Hicks, Kirsten Flagstad","The Bellows family causes comic confusion on an ocean liner, with time out for radio-style musical acts.",6.4,849,,,,,29.0,13.0,17,the big broadcast of 1938
tt0032730,Love Thy Neighbor,Love Thy Neighbor,1940,1940-12-27,"Animation, Comedy, Musical",82,USA,English,Mark Sandrich,"Edmund Beloin, William Morrow",Paramount Pictures,"Jack Benny, Fred Allen, Mary Martin, Verree Teasdale, Eddie 'Rochester' Anderson, Virginia Dale, Theresa Harris, Richard Denning, Jack Carson, Barnett Parker, Russell Hicks, Mary Kelley, Chester Clute, Judd McMichael, Ted McMichael",Jack Benny is preparing his New Year's Eve radio broadcast but takes time out to take his valet Rochester to meet his girlfriend Josephine arriving on a steamer. Fred Allen and his sister ...,6.6,121,,,,,9.0,,34,love thy neighbor
tt0032910,Pinocchio,Pinocchio,1940,1947-11-27,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Animation Studios,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Clarence Nash, Patricia Page, Christian Rub, Bill Thompson, Evelyn Venable","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",7.4,127618,$ 2600000,$ 84254167,$ 121892045,99.0,202.0,140.0,21,pinocchio
tt0033563,Dumbo,Dumbo,1941,1948-11-27,"Animation, Drama, Family",64,USA,English,"Samuel Armstrong, Norman Ferguson","Joe Grant, Dick Huemer",Walt Disney Productions,"Herman Bing, Billy Bletcher, Edward Brophy, Hall Johnson Choir, Cliff Edwards, Verna Felton, Noreen Gammill, Eddie Holden, Sterling Holloway, Malcolm Hutton, James MacDonald, Harold Manley, John McLeish, Jack Mercer, Tony Neil","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",7.2,116855,$ 950000,,$ 3731,96.0,173.0,130.0,20,dumbo
tt0033727,Hoppity va in città,Mr. Bug Goes to Town,1941,1947-07-11,"Animation, Comedy, Family",78,USA,English,"Dave Fleischer, Willard Bowsky","Dave Fleischer, Dan Gordon",Fleischer Studios,"Kenny Gardner, Jack Mercer, Tedd Pierce, Carl Meyer, Stan Freed, Pauline Loth, The Four Marshals, The Royal Guards",The happy tranquility of Buggsville is shattered when the populace learns that a colossal skyscraper is to be built over their tiny town.,7.0,1084,,,,,32.0,10.0,23,mr. bug goes to town
