imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth",1912,1913,"Biography, Drama",60,USA,English,Sidney Olcott,Gene Gauntier,Kalem Company,"R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan","An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",5.7,484,,,,,13.0,5.0,36,"from the manger to the cross; or, jesus of nazareth"
tt0002423,Madame DuBarry,Madame DuBarry,1919,1919-11-26,"Biography, Drama, Romance",85,Germany,German,Ernst Lubitsch,"Norbert Falk, Hanns Kräly",Projektions-AG Union (PAGU),"Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla","The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",6.8,753,,,,,12.0,9.0,22,madame dubarry
tt0007801,Cleopatra,Cleopatra,1917,1917-10-14,"Biography, Drama, History",125,USA,English,J. Gordon Edwards,"Adrian Johnson, Émile Moreau",Fox Film Corporation,"Theda Bara, Fritz Leiber, Thurston Hall, Alan Roscoe, Herschel Mayall, Dorothy Drake, Delle Duncan, Henri De Vries, Art Acord, Hector V. Sarno, Genevieve Blinn","The story of Cleopatra, the fabulous queen of Egypt, and the epic romances between her and the greatest men of Rome, Julius Caesar and Antony.",6.5,298,$ 500000,,,,3.0,3.0,25,cleopatra
tt0008395,Otets Sergiy,Otets Sergiy,1918,1919,"Biography, Drama, History",112,Russia,,"Yakov Protazanov, Alexandre Volkoff","Leo Tolstoy, Alexandre Volkoff",Yermoliev,"Ivan Mozzhukhin, Olga Kondorova, V. Dzheneyeva, Vladimir Gajdarov, Nikolai Panov, Nathalie Lissenko, Iona Talanov, Vera Orlova, Pyotr Baksheyev, Polycarpe Pavloff, Nicolas Rimsky","Prince Kasatsky is a just and proud youth, shock and disappointment with the world bring him to church, he becomes father Sergius. It is a story of his piety and temptation.",7.1,458,,,,,6.0,3.0,31,otets sergiy
tt0010962,Anna Bolena,Anna Boleyn,1920,1921-04-04,"Biography, Drama, Romance",100,Germany,German,Ernst Lubitsch,"Norbert Falk, Hanns Kräly",Messters Projektion GmbH,"Henny Porten, Emil Jannings, Paul Hartmann, Ludwig Hartau, Aud Egede-Nissen, Hedwig Pauly-Winterstein, Hilde Müller, Maria Reisenhofer, Ferdinand von Alten, Adolf Klein, Paul Biensfeldt, Wilhelm Diegelmann, Friedrich Kühne, Karl Platen, Erling Hanson","The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.",6.6,576,,,,,14.0,13.0,27,anna boleyn
tt0013571,Salomé,Salomé,1922,1923-02-15,"Biography, Drama, History",72,USA,,"Charles Bryant, Alla Nazimova","Oscar Wilde, Alla Nazimova",Nazimova Productions,"Alla Nazimova, Nigel De Brulier, Mitchell Lewis, Rose Dione, Earl Schenck, Arthur Jasmine, Frederick Peters, Louis Dumar","Salome, the daughter of Herodias, seduces her step-father/uncle Herod, governor of Judea, with a salacious dance. In return, he promises her the head of the prophet John the Baptist.",6.6,807,$ 350000,,,,26.0,7.0,29,salomé
tt0014532,I dieci comandamenti,The Ten Commandments,1923,1923-11-23,"Biography, Drama, Fantasy",136,USA,English,Cecil B. DeMille,Jeanie Macpherson,Paramount Pictures,"Theodore Roberts, Charles de Rochefort, Estelle Taylor, Julia Faye, Pat Moore, James Neill, Lawson Butt, Clarence Burton, Noble Johnson, Edythe Chapman, Richard Dix, Rod La Rocque, Leatrice Joy, Nita Naldi, Robert Edeson","After hearing the story of Moses, the sons of a devout Christian mother go their own ways, while the atheist brother's breaking of the Ten Commandments leads to tragedy.",6.8,1915,$ 1800000,,,,34.0,11.0,29,the ten commandments
tt0016276,The Red Kimona,The Red Kimona,1925,1925-11-16,"Biography, Drama, Romance",77,USA,English,"Walter Lang, Dorothy Davenport","Adela Rogers St. Johns, Dorothy Arzner",Mrs. Wallace Reid Productions,"Priscilla Bonner, Nellie Bly Baker, Carl Miller, Mary Carr, Virginia Pearson, Tyrone Power Sr., Sheldon Lewis, Theodore von Eltz, Emily Fitzroy, George Siegmann, Dot Farley","A small town girl finds escape from her cruel home life in the arms of a handsome stranger. Soon she finds herself working as a prostitute in New Orleans, desperately clinging to the belief that he really loves her.",6.6,297,,,,,16.0,5.0,39,the red kimona
tt0017198,Nell Gwyn,Nell Gwyn,1926,1927-01-03,"Biography, Drama, History",80,UK,English,Herbert Wilcox,"J.W. McConaughty, Joseph Shearing",British National Films,"Dorothy Gish, Randle Ayrton, Juliette Compton, Sydney Fairbrother, Donald Macardle, Johnny Butt, Gibb McLaughlin, Judd Green, Edward Sorley, Forrester Harvey, Fred Rains, Rolf Leslie, Aubrey Fitzgerald, Tom Coventry, Booth Conway",An actress becomes the king's mistress and persuades him to convert the palace to a serviceman's home.,5.2,227,,,,,2.0,1.0,17,nell gwyn
tt0017736,Casanova,Casanova,1927,1927,"Biography, Drama",132,"France, Germany",French,Alexandre Volkoff,"Norbert Falk, Ivan Mozzhukhin",Ciné-Alliance,"Ivan Mozzhukhin, Suzanne Bianchetti, Diana Karenne, Jenny Jugo, Rina De Liguoro, Nina Koshetz, Aslanoff, Bondineff, Raymond Bouamerane, Olga Day, Albert Decoeur, Devars, Dimitri Dimitriev, Paul Franceschi, Paul Guidé","A flamboyant portrait of the famous seducer seen by a former baritone of the Moscow Opera who, after a vocal accident, leaves for Germany and then France to devote himself to cinema.",6.8,171,,,,,4.0,2.0,32,casanova
