imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0018526,Le notti di Chicago,Underworld,1927,1927-10-29,"Crime, Drama, Film-Noir",80,USA,English,"Josef von Sternberg, Arthur Rosson","Charles Furthman, Ben Hecht",Paramount Pictures,"George Bancroft, Evelyn Brent, Clive Brook, Fred Kohler, Helen Lynch, Larry Semon, Jerry Mandy","Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.",7.6,2545,,$ 1642194,,,31.0,50.0,22,underworld
tt0018839,I dannati dell'oceano,The Docks of New York,1928,1928-09-29,"Crime, Drama, Film-Noir",76,USA,English,Josef von Sternberg,"Jules Furthman, John Monk Saunders",Paramount Pictures,"George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook, Mitchell Lewis, Gustav von Seyffertitz",A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,7.5,3860,,,,,34.0,51.0,19,the docks of new york
tt0019304,The Racket,The Racket,1928,1928-11-01,"Crime, Drama, Film-Noir",84,USA,English,Lewis Milestone,"Bartlett Cormack, Bartlett Cormack",The Caddo Company,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins, Henry Sedley, George E. Stone, Sam De Grasse, Richard 'Skeets' Gallagher, Lee Moran, John Darrow, Lucien Prival, Dan Wolheim",An honest police captain vows to bring down a powerful bootlegger who is protected by corrupt politicians and judges.,6.7,1099,,,,,28.0,14.0,19,the racket
tt0020499,La mazzata,Thunderbolt,1929,1929-06-20,"Crime, Drama, Film-Noir",85,USA,English,Josef von Sternberg,"Charles Furthman, Jules Furthman",Paramount Pictures,"George Bancroft, Fay Wray, Richard Arlen, Tully Marshall, Eugenie Besserer, James Spottswood, Robert Elliott, Fred Kohler, E.H. Calvert, George Irving, Mike Donlin, S.S. Stewart, William L. Thorne","A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolt's girl. ...",6.6,501,,,,,8.0,13.0,34,thunderbolt
tt0021228,Debito d'odio,Paid,1930,1930-12-30,"Drama, Film-Noir",86,USA,English,Sam Wood,"Bayard Veiller, Lucien Hubbard",Metro-Goldwyn-Mayer (MGM),"Joan Crawford, Robert Armstrong, Marie Prevost, Douglass Montgomery, John Miljan, Purnell Pratt, Hale Hamilton, Robert Emmett O'Connor, Tyrell Davis, William Bakewell, George Cooper, Gwen Lee, Isabel Withers","Mary Turner goes up for three years on a crime she didn't commit. Once out she and former prison mates plan a scam in which old men can be sued for breach of promise - the ""heart balm"" ...",6.2,606,$ 355000,,,,27.0,8.0,39,paid
tt0022111,Il falcone maltese,The Maltese Falcon,1931,1931-06-13,"Crime, Drama, Film-Noir",80,USA,"English, Chinese",Roy Del Ruth,"Dashiell Hammett, Maude Fulton",Warner Bros.,"Bebe Daniels, Ricardo Cortez, Dudley Digges, Una Merkel, Robert Elliott, Thelma Todd, Otto Matieson, Walter Long, Dwight Frye, J. Farrell MacDonald","A lovely dame with dangerous lies employs the services of a private detective, who is quickly caught up in the mystery and intrigue of a statuette known as the Maltese Falcon.",6.9,2692,,,,,42.0,23.0,31,the maltese falcon
tt0022660,Il pericolo pubblico n. 1,The Beast of the City,1932,1932-02-13,"Crime, Drama, Film-Noir",86,USA,English,Charles Brabin,W.R. Burnett,Metro-Goldwyn-Mayer (MGM),"Walter Huston, Jean Harlow, Wallace Ford, Jean Hersholt, Dorothy Peterson, Tully Marshall, John Miljan, Emmett Corrigan, Warner Richmond, Sandy Roth, J. Carrol Naish",Police Chief Jim Fitzpatrick ruthlessly goes after organized crime and is prepared to use brutal and violent methods to fight it.,6.8,1070,$ 230000,,,,29.0,10.0,21,the beast of the city
tt0023042,Io sono un evaso,I Am a Fugitive from a Chain Gang,1932,1933-11-23,"Crime, Drama, Film-Noir",92,USA,English,Mervyn LeRoy,"Robert E. Burns, Howard J. Green",Warner Bros.,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis, Preston Foster, Allen Jenkins, Berton Churchill, Edward Ellis, David Landau, Hale Hamilton, Sally Blane, Louise Carter, Willard Robertson, Robert McWade, Robert Warwick","Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him.",8.2,11390,$ 195845,,,,402.0,47.0,21,i am a fugitive from a chain gang
tt0023731,20.000 anni a Sing Sing,"20,000 Years in Sing Sing",1932,1932-12-24,"Crime, Drama, Film-Noir",78,USA,English,Michael Curtiz,"Lewis E. Lawes, Wilson Mizner",First National Pictures,"Spencer Tracy, Bette Davis, Arthur Byron, Lyle Talbot, Warren Hymer, Louis Calhern","Brash hoodlum Tom Connors enters Sing Sing cocksure of himself and disrespectful toward authority, but his tough but compassionate warden changes him.",6.9,2345,,,,,37.0,16.0,22,"20,000 years in sing sing"
tt0023818,Blood Money,Blood Money,1933,1933-11-17,"Drama, Film-Noir, Romance",65,USA,English,Rowland Brown,Rowland Brown,20th Century Pictures,"George Bancroft, Judith Anderson, Frances Dee, Chick Chandler, Blossom Seeley, Etienne Girardot, George Regas","Bill Bailey (George Bancroft) is a Los Angeles, California bail bondsman who lives in a world of complete, casual corruption, where all he has to do is pick up the phone to get the charges ...",6.9,298,$ 238591,,,,16.0,6.0,36,blood money
