imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0018037,Il cantante di jazz,The Jazz Singer,1927,1928-02-04,"Drama, Music, Musical",88,USA,English,Alan Crosland,"Samson Raphaelson, Alfred A. Cohn",Warner Bros.,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer, Otto Lederer, Robert Gordon, Richard Tucker, Yossele Rosenblatt",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,6.5,8866,$ 422000,,,66.0,104.0,63.0,25,the jazz singer
tt0019725,Broadway,Broadway,1929,1930-04-30,"Crime, Music, Romance",104,USA,English,Pál Fejös,"Philip Dunning, George Abbott",Universal Pictures,"Glenn Tryon, Evelyn Brent, Merna Kennedy, Thomas E. Jackson, Robert Ellis, Otis Harlan, Paul Porcasi, Marion Lord, Fritz Feld, Leslie Fenton, Arthur Housman, George Davis, Betty Francisco, Edythe Flynn, Florence Dudley",A naive young dancer in a Broadway show innocently gets involved in backstage bootlegging and murder.,6.2,339,$ 1000000,,,,13.0,8.0,16,broadway
tt0020332,Rio Rita,Rio Rita,1929,1929-09-15,"Adventure, Music, Romance",140,USA,English,Luther Reed,"Luther Reed, Guy Bolton",RKO Radio Pictures,"Bebe Daniels, John Boles, Bert Wheeler, Robert Woolsey, Dorothy Lee, Don Alvarado, Georges Renavent, Helen Kaiser, Tom Smith","Capt. James Stewart pursues the bandit ""The Kinkajou"" over the Mexican border and falls in love with Rita. He suspects, that her brother is the bandit.",6.1,691,,,,,22.0,10.0,26,rio rita
tt0020446,The Squall,The Squall,1929,1929-05-01,"Drama, Music, Romance",105,USA,English,Alexander Korda,"Jean Bart, Bradley King",First National Pictures,"Alice Joyce, Richard Tucker, Myrna Loy, Loretta Young, Zasu Pitts, Carroll Nye, Harry Cording, George Hackathorne, Marcia Harris, Knute Erickson, Nicholas Soussanin","The activities of Nubi (Myrna Loy), a minx-like, Hungarian gypsy girl who, while on the run from her abusive husband, takes shelter in a farmhouse, where she seduces and holds in thrall all the male members of the family.",4.9,328,,,,,21.0,3.0,39,the squall
tt0020690,La conquista dell'America,The Big Pond,1930,1930-05-03,"Comedy, Music, Romance",72,USA,"English, French",Hobart Henley,"A.E. Thomas, George Middleton",Paramount Pictures,"Maurice Chevalier, Claudette Colbert, George Barbier, Marion Ballou, Andrée Corday, Frank Lyon, Nat Pendleton, Elaine Koch",A tour guide in Venice romances a visiting American tourist whose father owns a chewing-gum factory back in the U.S. She sets out to convince her skeptical father to bring the tour guide to America and give him a job in the plant.,5.9,209,,,,,11.0,7.0,43,the big pond
tt0021090,Lord Byron of Broadway,Lord Byron of Broadway,1930,1930-02-28,"Drama, Music, Romance",80,USA,English,"Harry Beaumont, William Nigh","Nell Martin, Willard Mack",Metro-Goldwyn-Mayer (MGM),"Charles Kaley, Ethelind Terry, Marion Shilling, Cliff Edwards, Gwen Lee, Benny Rubin, Drew Demorest, Jack Byron, Rita Flynn, Hazel Craven, Gino Corrado, Pauline Paquette","A tunesmith, a user and an out-and-out heel, puts the stories of his broken romances into song, turning old love letters into lyrics, and capitalizing on the death of his best friend to ...",5.3,124,,,,,13.0,4.0,34,lord byron of broadway
tt0021133,Maybe It's Love,Maybe It's Love,1930,1930-10-04,"Comedy, Music, Romance",72,USA,English,William A. Wellman,"Darryl F. Zanuck, Joseph Jackson",Warner Bros.,"Joe E. Brown, Joan Bennett, James Hall, Laura Lee, Sumner Getchell, George Irving, George Bickel, Russell Saunders, Tim Moynihan, Bill Banker, Howard Harpster, Ray Montgomery, Otto Pommerening, Red Sleight, Kenneth Haycraft","A college football player (Joe E. Brown) persuades a beautiful young woman (Joan Bennett) to individually flirt with an entire team of All-American football players, in order to entice them...",5.1,233,,,,,16.0,4.0,30,maybe it's love
tt0021223,Ragazze che sognano,Our Blushing Brides,1930,1930-07-19,"Drama, Music, Romance",102,USA,English,Harry Beaumont,Edwin Justus Mayer,Metro-Goldwyn-Mayer (MGM),"Joan Crawford, Anita Page, Dorothy Sebastian, Robert Montgomery, Raymond Hackett, John Miljan, Hedda Hopper, Albert Conti, Edward Brophy, Robert Emmett O'Connor, Martha Sleeper, Gwen Lee, Mary Doran, Catherine Moylan, Norma Drew","Three department store girls--Connie, Franky, and Jerry--share an apartment on West 91st Street in New York City. Each earns little more than 20 dollars per week. Jerry is the sensible one,...",6.1,588,$ 337000,,,,28.0,8.0,31,our blushing brides
tt0021401,Song o' My Heart,Song o' My Heart,1930,1930-09-07,"Drama, Music, Romance",85,USA,English,Frank Borzage,"Tom Barry, Sonya Levien",Fox Film Corporation,"John McCormack, Alice Joyce, Maureen O'Sullivan, Tommy Clifford, John Garrick, Effie Ellsler, J.M. Kerrigan, J. Farrell MacDonald, Emily Fitzroy, Edwin Schneider, Andrés de Segurola, Edward Martindel","Broken hearts in Ireland. Sean is a great tenor, in semi-retirement, living in a village close to Mary, the woman he's always loved. Mary's aunt convinced her to marry a man for his money; ...",5.3,142,,,,,9.0,,35,song o' my heart
tt0023842,Brief Moment,Brief Moment,1933,1933-09-29,"Drama, Music, Romance",71,USA,English,David Burton,"S.N. Behrman, Brian Marlow",Columbia Pictures,"Carole Lombard, Gene Raymond, Donald Cook, Monroe Owsley, Arthur Hohl, Irene Ware, Theresa Maxwell Conover, Reginald Mason, Jameson Thomas, Florence Britton, Herbert Evans, Edward LeSaint","A dissolute rich society boy marries a worldly nightclub singer, and she begins to have a wholly unexpected effect on him.",6.4,226,,,,,8.0,4.0,21,brief moment
