imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0016029,Il piccolo colonnello,The Little Colonel,1935,1935-02-22,"Comedy, Family, Musical",81,USA,English,David Butler,"William M. Conselman, William M. Conselman",Fox Film Corporation,"Shirley Temple, Lionel Barrymore, Evelyn Venable, John Lodge, Bill Robinson, Sidney Blackmer, Stephen Chase, William Burgess, Frank Darien, Robert Warwick, Hattie McDaniel, Geneva Williams, Avonne Jackson, Nyanza Potts","After Southern belle Elizabeth Lloyd runs off to marry Yankee Jack Sherman, her father, a former Confederate colonel during the Civil War, vows to never speak to her again. Several years ...",7.1,1420,,,,,21.0,5.0,32,the little colonel
tt0018037,Il cantante di jazz,The Jazz Singer,1927,1928-02-04,"Drama, Music, Musical",88,USA,English,Alan Crosland,"Samson Raphaelson, Alfred A. Cohn",Warner Bros.,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer, Otto Lederer, Robert Gordon, Richard Tucker, Yossele Rosenblatt",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,6.5,8866,$ 422000,,,66.0,104.0,63.0,25,the jazz singer
tt0019388,Il cantante pazzo,The Singing Fool,1928,1929-04-19,"Musical, Drama",105,USA,English,Lloyd Bacon,"C. Graham Baker, C. Graham Baker",Warner Bros.,"Al Jolson, Betty Bronson, Josephine Dunn, Arthur Housman, Reed Howes, Davey Lee, Edward Martindel, Robert Emmett O'Connor, Helen Lynch, Agnes Franey, The Yacht Club Boys","A singing waiter and composer (Al Jolson) loves two women (Betty Bronson, Josephine Dunn), conquers Broadway and holds his dying son, singing ""Sonny Boy.""",6.2,206,,$ 10900000,$ 12862000,,13.0,6.0,24,the singing fool
tt0019644,Applause,Applause,1929,1930-01-04,"Drama, Musical",80,USA,English,Rouben Mamoulian,"Beth Brown, Garrett Fort",Paramount Pictures,"Helen Morgan, Joan Peers, Fuller Mellish Jr., Jack Cameron, Henry Wadsworth, Billie Bernard, Phyliss Bolce, Lotta Burnell, Alice Clayton, Florence Dickerson, Viola Gallo, E. Graniss, Mary Gertrude Haines, David Holt, Madge McLaughlin",A burlesque star seeks to keep her convent-raised daughter away from her low-down life and abusive lover/stage manager.,7.0,1266,,,,,25.0,20.0,18,applause
tt0019726,Ragazze d'America,Broadway Babies,1929,1930-01-20,"Drama, Musical",86,USA,English,Mervyn LeRoy,"Jay Gelzer, Monte M. Katterjohn",First National Pictures,"Alice White, Marion Byron, Sally Eilers, Charles Delaney, Tom Dugan, Bodil Rosing, Maurice Black, Fred Kohler, Louis Natheaux, Jocelyn Lee","A Chorus girl who is in love with her stage manager is led to believe that he is in love with another young woman, so, she agrees to marry a bootlegger instead.",6.4,119,,,,,6.0,2.0,32,broadway babies
tt0019729,La canzone di Broadway,The Broadway Melody,1929,1929-06-06,"Drama, Musical, Romance",100,USA,English,Harry Beaumont,"Edmund Goulding, Norman Houston",Metro-Goldwyn-Mayer (MGM),"Charles King, Anita Page, Bessie Love","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.",5.7,6327,$ 379000,,,,85.0,35.0,24,the broadway melody
tt0019798,La danza della vita,The Dance of Life,1929,1929-08-16,"Drama, Musical, Romance",115,USA,English,"John Cromwell, A. Edward Sutherland","Benjamin Glazer, Arthur Hopkins",Paramount Pictures,"Hal Skelly, Nancy Carroll, Dorothy Revier, Ralph Theodore, Charles D. Brown, Al St. John, May Boley, Oscar Levant, Gladys DuBois, James Quinn, Jim Farley, George Irving, Gordona Bennet, Miss La Reno, Corra Beach","A vaudeville comic and a pretty young dancer aren't having much luck in their separate careers, so they decide to combine their acts and in order to save money on the road, they get married.",6.5,261,,,,,9.0,3.0,35,the dance of life
tt0019933,Glorifying the American Girl,Glorifying the American Girl,1929,1929-12-07,"Comedy, Drama, Musical",95,USA,English,Millard Webb,"J.P. McEvoy, Millard Webb",Paramount Pictures,"Mary Eaton, Eddie Cantor, Helen Morgan, Rudy Vallee, Dan Healy, Kaye Renard, Edward Crandall, Gloria Shea, Sarah Edwards, Singing and Dancing Chorus of Seventy-Five Glorified Beauties","The rise of a showgirl, Gloria Hughes, culminating in a Ziegfeld extravaganza ""Glorifying the American Girl"".",5.8,621,,,,,28.0,5.0,16,glorifying the american girl
tt0019946,Il gran Gabbo,The Great Gabbo,1929,1929-09-12,"Drama, Musical, Romance",92,USA,"German, English","James Cruze, Erich von Stroheim","Ben Hecht, Hugh Herbert",James Cruze Productions,"Erich von Stroheim, Betty Compson, Donald Douglas, Marjorie Kane","An insanely, egocentric ventriloquist, even though he is possessed by his wooden dummy, is in love with a dancer who is in love with another. The dummy gives advice to the ventriloquist.",6.1,694,,,,,28.0,17.0,32,the great gabbo
tt0020034,La romanza dell'amore,It's a Great Life,1929,1929-12-06,"Comedy, Musical, Romance",93,USA,English,Sam Wood,"Byron Morgan, Leonard Praskins",Metro-Goldwyn-Mayer (MGM),"Rosetta Duncan, Vivian Duncan, Lawrence Gray, Jed Prouty, Benny Rubin","Casey and Babe are sisters who work in a department store and each year the store puts on a show. As expected, things are going wrong with every act until Casey comes out to help Babe with ...",6.1,269,,,,,9.0,1.0,38,it's a great life
tt0020143,La compagnia d'assalto,Marianne,1929,1929-08-24,"Drama, Musical, Romance",111,USA,"English, French",Robert Z. Leonard,"Dale Van Every, Laurence Stallings",Cosmopolitan Productions,"Marion Davies, George Baxter, Lawrence Gray, Cliff Edwards, Benny Rubin, Scott Kolk, Robert Edeson, Emile Chautard","During World War I, a young French woman struggles to choose between two suitors: a blind soldier to whom she is engaged and an American serviceman.",6.2,1148,,,,,18.0,3.0,26,marianne
tt0020238,On with the Show!,On with the Show!,1929,1929-07-13,"Musical, Romance",104,USA,"English, French",Alan Crosland,"Humphrey Pearson, Robert Lord",Warner Bros.,"Arthur Lake, Betty Compson, Joe E. Brown, Sally O'Neil, William Bakewell, Louise Fazenda, Sam Hardy, Harry Gribbon, Lee Moran, Wheeler Oakman, Madeline Fairbanks, Marion Fairbanks, Purnell Pratt, Thomas Jefferson, Ethel Waters","A musical advertised as the first 100% natural color, all-singing production. The plot concerns a wide-eyed former hatcheck girl who takes the place of a rebellious star.",5.8,259,$ 493000,,,,15.0,4.0,27,on with the show!
tt0020336,Arcobaleno,Chasing Rainbows,1930,1930-02-23,"Comedy, Drama, Musical",96,USA,English,Charles Reisner,"Robert E. Hopkins, Bess Meredyth",Metro-Goldwyn-Mayer (MGM),"Bessie Love, Charles King, Jack Benny, George K. Arthur, Polly Moran, Gwen Lee, Nita Martan, Eddie Phillips, Marie Dressler, Youcca Troubetzkov",The road-show troupe of a top Broadway show go cross-country while taking the audience along on the on-stage scenes as well as what happens and is happening back stage of the production. ...,6.0,204,,,,,11.0,4.0,33,chasing rainbows
tt0020358,Sally,Sally,1929,1930-01-12,Musical,103,USA,"English, French",John Francis Dillon,"Guy Bolton, Waldemar Young",First National Pictures,"Marilyn Miller, Alexander Gray, Joe E. Brown, T. Roy Barnes, Pert Kelton, Ford Sterling, Maude Turner Gordon, E.J. Ratcliffe, Jack Duffy, Ethel Stone, Nora Lane","Sally was an orphan who got her name from the telephone exchange where she was abandoned as a baby. In the orphanage, she discovered the joy of dancing and has been practicing since. ...",6.1,304,$ 647000,,,,15.0,4.0,34,sally
tt0020402,Show Boat,Show Boat,1929,1929-07-28,"Drama, Musical, Romance",147,USA,English,"Harry A. Pollard, Arch Heath","Edna Ferber, Edward J. Montaigne",Universal Pictures,"Laura La Plante, Joseph Schildkraut, Emily Fitzroy, Otis Harlan, Alma Rubens, Jack McDonald, Jane La Verne, Neely Edwards, Elise Bartlett, Stepin Fetchit, Jules Bledsoe, Tess Gardella, Bettye Junod, Carl Laemmle, Helen Morgan","A mostly silent version of Edna Ferber's original novel, with some songs from the musical as a last-minute addition",6.1,245,,,,,13.0,3.0,19,show boat
tt0020403,Rivista delle nazioni,Show of Shows,1929,1929-12-29,Musical,128,USA,English,John G. Adolfi,"J. Keirn Brennan, Frank Fay",Warner Bros.,"Frank Fay, William Courtenay, H.B. Warner, Hobart Bosworth, John Barrymore, Harry Akst, Armida, Johnny Arthur, Mary Astor, William Bakewell, Richard Barthelmess, Noah Beery, Sally Blane, Monte Blue, Irène Bordoni","It's 1929. The studio gave the cinema its voice and offered the audiences a chance to see their favorite actors and actresses from the silent screen era. For the first time, they can be ...",5.8,367,$ 850000,,,,27.0,3.0,35,show of shows
tt0020458,La ragazza del bacio,Street Girl,1929,1932,"Drama, Musical, Romance",87,USA,English,Wesley Ruggles,"Jane Murfin, W. Carey Wonderly",RKO Radio Pictures,"Betty Compson, John Harron, Jack Oakie, Ned Sparks, Guy Buccola, Joseph Cawthorn, Ivan Lebedeff, Doris Eaton, Gus Arnheim and His Cocoanut Grove Ambassadors","A homeless and destitute violinist joins a combo to bring it success, but has problems with her love life.",6.1,337,$ 211000,,,,12.0,2.0,19,street girl
