imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0003165,Le mort qui tue,Le mort qui tue,1913,1913-11-06,"Crime, Drama, Mystery",90,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Edmund Breon, Georges Melchior, André Luguet, Luitz-Morat, Naudier, Armand Dutertre, Renée Carl, Fabienne Fabrèges, Jane Faber, Marie Dorly, Édouard Mathé","After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",7.0,1050,,,,,6.0,18.0,35,le mort qui tue
tt0004066,Det hemmelighedsfulde X,Det hemmelighedsfulde X,1914,1914-03-23,"Drama, Mystery",84,Denmark,Danish,Benjamin Christensen,"Benjamin Christensen, Laurids Skands",Dansk Biograf Compagni,"Benjamin Christensen, Karen Caspersen, Otto Reinwald, Fritz Lamprecht, Amanda Lund, Hermann Spiro, Bjørn Spiro, Holger Bjerre, Otto Lagoni, Charles Løwaas, Holger Rasmussen, Svend Rindom, Robert Schmidt, Finn Wennerwald","On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.",7.0,503,,,,,7.0,4.0,28,det hemmelighedsfulde x
tt0007338,Sherlock Holmes,Sherlock Holmes,1916,1916-05-15,Mystery,116,USA,English,Arthur Berthelet,"H.S. Sheldon, William Gillette",The Essanay Film Manufacturing Company,"William Gillette, Marjorie Kay, Ernest Maupain, Edward Fielding, Mario Majeroni, Grace Reals, William Postance, Stewart Robbins, Burford Hampden, Chester Beery, Frank Hamilton, Fred Malatesta, Leona Ball, Hugh Thompson, Ludwig Kreiss","When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.",6.4,313,,,,,10.0,16.0,34,sherlock holmes
tt0009701,Tih Minh,Tih Minh,1918,1919-02-07,"Adventure, Mystery",418,France,French,Louis Feuillade,Louis Feuillade,Société des Etablissements L. Gaumont,"Mary Harald, René Cresté, Georges Biscot, Édouard Mathé, Louis Leubas, Gaston Michel, Marcel Marquet, Émile André, Georgette Faraboni, Jeanne Rollette, Lugane, Adeline de La Croix, Manuel Caméré","Jacques d'Athys, a French adventurer, returns to his home in Nice after an expedition to Indochina where he has picked up a Eurasian fiancée and a book that, unbeknownst to him, contains a ...",7.0,309,,,,,1.0,7.0,34,tih minh
tt0010821,Un affare misterioso,Unheimliche Geschichten,1919,1919-11-05,"Fantasy, Horror, Mystery",112,Germany,,Richard Oswald,"Anselma Heine, Robert Liebmann",Richard-Oswald-Produktion,"Anita Berber, Conrad Veidt, Reinhold Schünzel, Hugo Döblin, Paul Morgan, Georg John","A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.",6.5,447,,,,,7.0,10.0,18,unheimliche geschichten
tt0011753,Terror Island,Terror Island,1920,1920-04-01,Mystery,55,USA,English,James Cruze,"Arthur B. Reeve, John Grey",Paramount Pictures,"Harry Houdini, Jack Brammall, Lila Lee, Wilton Taylor, Eugene Pallette, Ed Brady, Frank Bonner, Taylor N. Duncan, F.A. Turner, Rosemary Theby","An inventor travels to the South Seas, where there is buried treasure belonging to a girl. The girl's father is being held captive by cannibals until she returns a pearl that belongs to one of their idols.",5.5,168,,,,,5.0,2.0,37,terror island
tt0011904,The Ace of Hearts,The Ace of Hearts,1921,1923-04-14,"Crime, Drama, Mystery",75,USA,,Wallace Worsley,"Gouverneur Morris, Ruth Wightman",Goldwyn Pictures Corporation,"Lon Chaney, Leatrice Joy, John Bowers, Hardee Kirkland, Raymond Hatton, Edwin Wallock, Roy Laidlaw",A romantic rivalry among members of a secret society becomes even tenser when one of the men is assigned to carry out an assassination.,6.8,1037,,,,,31.0,7.0,24,the ace of hearts
tt0013367,The Man from Beyond,The Man from Beyond,1922,1922-04-02,Mystery,74,USA,English,Burton L. King,"Harry Houdini, Coolidge Streeter",Houdini Picture Corporation,"Harry Houdini, Arthur Maude, Albert Tavernier, Erwin Connelly, Frank Montgomery, Luis Alberni, Yale Benner, Jane Connelly, Nita Naldi",A man who has been frozen in the Arctic ice for 100 years returns to civilization to find his lost love.,5.4,226,,,,,12.0,9.0,21,the man from beyond
tt0013597,Sherlock Holmes,Sherlock Holmes,1922,1922-03-07,"Drama, Mystery",85,USA,English,Albert Parker,"Earle Browne, Arthur Conan Doyle",Goldwyn Pictures Corporation,"John Barrymore, Roland Young, Carol Dempster, Gustav von Seyffertitz, Louis Wolheim, Percy Knight, William Powell, Hedda Hopper, Peggy Bayfield, Margaret Kemp, Anders Randolf, Robert Schable, Reginald Denny, David Torrence, Robert Fischer",A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.,5.8,551,,$ 384770,,,18.0,15.0,21,sherlock holmes
tt0014606,White Tiger,White Tiger,1923,1923-12-17,"Crime, Drama, Mystery",86,USA,English,Tod Browning,"Tod Browning, Tod Browning",Universal Pictures,"Priscilla Dean, Matt Moore, Raymond Griffith, Wallace Beery, Alfred Allen",Three crooks pull off a magnificent crime. As they're forced to hide out together they slowly begin to distrust each other.,6.2,117,,,,,9.0,6.0,21,white tiger
tt0015014,Futurismo,L'inhumaine,1924,1924-12-12,"Adventure, Drama, Mystery",135,France,French,Marcel L'Herbier,"Pierre Dumarchais, Joris-Karl Huysmans",Cinégraphic,"Jaque Catelain, Léonid Walter de Malte, Philippe Hériat, Fred Kellerman, Georgette Leblanc, Marcelle Pradot, Prince Tokio, Las Bonambellas, Rolf de Mare Ballets","Claire Lescot is a famous first lady. All men want to be loved by her and among them is the young scientist Einar Norsen. When she mocks at him, he leaves her house with the declared intention to kill himself.",7.2,712,FRF 260000,,,,6.0,21.0,40,l'inhumaine
tt0015202,Orlacs Hände,Orlacs Hände,1924,1925-01-31,"Crime, Horror, Mystery",92,"Austria, Germany",,Robert Wiene,"Louis Nerz, Maurice Renard",Berolina Film GmbH,"Conrad Veidt, Alexandra Sorina, Fritz Strassny, Paul Askonas, Carmen Cartellieri, Hans Homma, Fritz Kortner","A world-famous pianist loses both hands in an accident. When new hands are grafted on, he doesn't know they once belonged to a murderer.",7.1,2263,,,,,25.0,24.0,24,orlacs hände
tt0016123,The Monster,The Monster,1925,1925-03-16,"Comedy, Horror, Mystery",86,USA,English,Roland West,"Roland West, Crane Wilbur",Metro-Goldwyn Pictures Corporation,"Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur, Charles Sellon, Walter James, Knute Erickson, Frank Austin, Edward McWade, Ethel Wales",A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.,6.2,906,,,,,29.0,18.0,19,the monster
tt0016491,Visages d'enfants,Visages d'enfants,1925,1925,"Drama, Mystery, Romance",114,"Switzerland, France",French,Jacques Feyder,"Jacques Feyder, Françoise Rosay",Mundus-Film,"Jean Forest, Victor Vina, Pierrette Houyez, Jeanne Marie-Laurent, Rachel Devirys, Henri Duval, Arlette Peyran, Suzy Vernon, Charles Barrois, F. Greffin, P. Lecoq, Arturo Porchet","A man whose wife has died remarries, and his new wife has a daughter of her own from a previous marriage. The man's young son, however, who loved his mother deeply and misses her terribly, ...",7.7,693,,,,,15.0,11.0,36,visages d'enfants
tt0016629,The Bat,The Bat,1926,1926-03-21,"Mystery, Thriller",86,USA,English,Roland West,"Avery Hopwood, Julien Josephson",Roland West Productions,"George Beranger, Charles Herzinger, Emily Fitzroy, Louise Fazenda, Arthur Housman, Robert McKim, Jack Pickford, Jewel Carmen, Sôjin Kamiyama, Tullio Carminati, Eddie Gribbon, Lee Shumway",A masked criminal who dresses like a giant bat terrorizes the guests at an old house rented by a mystery writer.,6.5,678,,,,,29.0,16.0,21,the bat
tt0017739,Il castello degli spettri,The Cat and the Canary,1927,1929-07-15,"Comedy, Horror, Mystery",108,USA,English,Paul Leni,"John Willard, Robert F. Hill",Universal Pictures,"Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall, Gertrude Astor, Flora Finch, Arthur Edmund Carewe, Martha Mattox, George Siegmann, Lucien Littlefield",Relatives of an eccentric millionaire gather in his spooky mansion on the 20th anniversary of his death for the reading of his will.,7.1,2654,,$ 325550,,,53.0,57.0,23,the cat and the canary
tt0019130,L'uomo che ride,The Man Who Laughs,1928,1929-02-01,"Drama, Horror, Mystery",110,USA,English,Paul Leni,"Victor Hugo, J. Grubb Alexander",Universal Pictures,"Mary Philbin, Conrad Veidt, Julius Molnar, Olga Baclanova, Brandon Hurst, Cesare Gravina, Stuart Holmes, Sam De Grasse, George Siegmann, Josephine Crowell, Károly Huszár, Zimbo the Dog, Delmo Fritz, Deno Fritz","When a proud noble refuses to kiss the hand of the despotic King James in 1690, he is cruelly executed and his son surgically disfigured.",7.7,5711,,,$ 4347,,66.0,40.0,25,the man who laughs
tt0019563,La serpe di Zanzibar,West of Zanzibar,1928,1928-11-24,"Drama, Mystery",65,USA,English,Tod Browning,"Elliott J. Clawson, Chester De Vonde",Metro-Goldwyn-Mayer (MGM),"Lon Chaney, Lionel Barrymore, Mary Nolan, Warner Baxter, Jacqueline Gadsdon, Tiny Ward, Kalla Pasha, Curtis Nero",A magician seeks vengeance upon the man who paralyzed him and the illegitimate daughter he sired with the magician's wife.,7.2,1582,$ 259000,,,,34.0,18.0,20,west of zanzibar
tt0019684,Behind That Curtain,Behind That Curtain,1929,1929-06-30,Mystery,91,USA,English,Irving Cummings,"Earl Derr Biggers, Sonya Levien",Fox Film Corporation,"Warner Baxter, Lois Moran, Gilbert Emery, Claude King, Philip Strange, Boris Karloff, Jamiel Hasson, Peter Gawthorne, John Rogers, Edgar Norton, Frank Finch Smiles, Mercedes De Valasco, E.L. Park","Eve Mannering realizes too late that her abusive husband is a philanderer and murderer and seeks protection with her true love, explorer John Beetham.",4.9,386,,,,,31.0,8.0,24,behind that curtain
tt0019690,Big News,Big News,1929,1929-09-07,"Comedy, Crime, Mystery",75,USA,English,Gregory La Cava,"George S. Brooks, Walter DeLeon",Pathé Exchange,"Robert Armstrong, Carole Lombard, Louis Payne, Wade Boteler, Charles Sellon, Sam Hardy, Tom Kennedy, Warner Richmond, Helen Ainsworth, Herbert Clark, Gertrude Sutton, James Donlan, George 'Gabby' Hayes, Vernon Steele, Clarence Wilson",A reporter's marriage is jeopardized by his drinking and he finds himself accused of a murder he didn't commit.,5.4,203,,,,,13.0,5.0,19,big news
tt0019735,Cercasi avventura,Bulldog Drummond,1929,1929-05-02,"Drama, Mystery, Thriller",90,USA,English,F. Richard Jones,"Herman C. McNeile, Sidney Howard",The Samuel Goldwyn Company,"Ronald Colman, Claud Allister, Lawrence Grant, Montagu Love, Wilson Benge, Joan Bennett, Lilyan Tashman, Charles Sellon, Adolph Milar, Tetsu Komai, Gertrude Short, Donald Novis","A bored WWI veteran helps out a young woman, whose uncle is being held hostage by embezzlers.",6.4,839,$ 550000,,,,28.0,17.0,17,bulldog drummond
tt0019745,La Canarina Assassinata,The Canary Murder Case,1929,1929,"Crime, Drama, Mystery",82,USA,English,"Malcolm St. Clair, Frank Tuttle","Albert S. Le Vino, Herman J. Mankiewicz",Paramount Pictures,"William Powell, Jean Arthur, James Hall, Louise Brooks, Charles Lane, Lawrence Grant, Gustav von Seyffertitz, E.H. Calvert, Eugene Pallette, Ned Sparks, Louis John Bartels","A beautiful showgirl, nicknamed 'the Canary', is a scheming nightclub singer. Blackmailing is her game and soon ends up dead. But who killed 'the Canary'. All the suspects who knew her had ...",6.0,539,,,,,21.0,14.0,33,the canary murder case
