imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0008100,L'astronave,Himmelskibet,1918,1918-02-22,"Adventure, Fantasy, Sci-Fi",97,Denmark,,Holger-Madsen,"Sophus Michaëlis, Sophus Michaëlis",Nordisk Film,"Gunnar Tolnæs, Zanny Petersen, Nicolai Neiiendam, Alf Blütecher, Svend Kornbeck, Philip Bech, Lilly Jacobson, Frederik Jacobsen, Birger von Cotta-Schønberg, Albert Paul","A group of researchers from Earth travel in a spaceship to Mars, where, to big surprise, they find a peaceful vegetarian and pacifist civilization.",6.5,585,,,,,14.0,13.0,24,himmelskibet
tt0011130,Dr. Jekyll e Mr. Hyde,Dr. Jekyll and Mr. Hyde,1920,1920-09-28,"Drama, Horror, Sci-Fi",69,USA,English,John S. Robertson,"Robert Louis Stevenson, Clara Beranger",Paramount Pictures,"John Barrymore, Brandon Hurst, Martha Mansfield, Charles Lane, Cecil Clovelly, Nita Naldi, Louis Wolheim","Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",7.0,4753,,,,,73.0,67.0,22,dr. jekyll and mr. hyde
tt0014721,Black Oxen,Black Oxen,1923,1924-01-01,"Drama, Romance, Sci-Fi",80,USA,English,Frank Lloyd,"Gertrude Atherton, Frank Lloyd",Frank Lloyd Productions,"Corinne Griffith, Conway Tearle, Tom Ricketts, Tom Guise, Clara Bow, Kate Lester, Harry Mestayer, Lincoln Stedman, Claire McDowell, Alan Hale, Clarissa Selwynne, Fred Gamble, Percy Williams, Otto Nelson, Eric Mayne","A Manhattan playboy falls in love with a mysterious European woman, whom he notices as an exact double for a famous socialite who disappeared at the turn of the century. At first, he thinks...",5.9,131,,,,,8.0,3.0,34,black oxen
tt0017136,Metropolis,Metropolis,1927,1928-10-01,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,156076,DEM 6000000,$ 1236166,$ 1349711,98.0,495.0,208.0,39,metropolis
tt0020198,L'isola misteriosa,The Mysterious Island,1929,1929-10-05,"Adventure, Romance, Sci-Fi",95,USA,English,"Lucien Hubbard, Benjamin Christensen","Jules Verne, Lucien Hubbard",Metro-Goldwyn-Mayer (MGM),"Lionel Barrymore, Jacqueline Gadsdon, Lloyd Hughes, Montagu Love, Harry Gribbon, Snitz Edwards, Gibson Gowland, Dolores Brinkman, Karl Dane","On a volcanic island near the kingdom of Hetvia rules Count Dakkar, a benevolent leader and scientist who has eliminated class distinction among the island's inhabitants. Dakkar, his ...",6.1,562,$ 1130000,,,,21.0,19.0,29,the mysterious island
tt0021864,La fine del mondo,La fin du monde,1931,1931-10-27,Sci-Fi,105,France,French,Abel Gance,"Jean Boyer, Camille Flammarion",L'Écran d'Art,"Abel Gance, Colette Darfeuil, Sylvie Gance, Jeanne Brindeau, Samson Fainsilber, Georges Colin, Jean d'Yd, Victor Francen, Albert Bras, Vanda Gréville, Major Heitner, Philippe Hersent, L. Laumon, Monique Rolland, Saint-Allier","The two Novalic brothers, Jean and Martial, are in love with the same woman, Genevieve. Jean is an impoverished actor and an idealistic dreamer, who does not want Genevieve to share in his ...",6.1,221,,,,,4.0,7.0,34,la fin du monde
tt0022835,Il dottor Jekyll,Dr. Jekyll and Mr. Hyde,1931,1932-01-03,"Horror, Sci-Fi",98,USA,English,Rouben Mamoulian,"Samuel Hoffenstein, Percy Heath",Paramount Pictures,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert, Halliwell Hobbes, Edgar Norton, Tempe Pigott",Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.,7.6,12225,$ 535000,,$ 16615,,127.0,62.0,24,dr. jekyll and mr. hyde
tt0022869,FP 1 non risponde,F.P.1 antwortet nicht,1932,1932-12-22,Sci-Fi,114,Germany,German,Karl Hartl,"Walter Reisch, Curt Siodmak",Universum Film (UFA),"Hans Albers, Sybille Schmitz, Paul Hartmann, Peter Lorre, Hermann Speelmans, Paul Westermeier, Friedrich Gnaß, Georg John, Georg August Koch, Philipp Manning, Erik Ode, Arthur Peiser, Rudolf Platte, Gustav Püttjer, Hans Schneider","Urged by famous airman Ellissen the Lennartz Company puts into reality the project proposed by his friend Droste: F.P.1, a huge floating platform in the Atlantic that makes long-distance ...",6.3,201,,,,,6.0,4.0,30,f.p.1 antwortet nicht
tt0023002,Atlantide,Die Herrin von Atlantis,1932,1932-06-28,"Fantasy, Sci-Fi",87,"Germany, France",German,Georg Wilhelm Pabst,"Pierre Benoît, Alexandre Arnoux",Nero-Film AG,"Brigitte Helm, Heinz Klingenberg, Tela Tchaï, Gustav Diessl, Georges Tourreil, Vladimir Sokoloff, Mathias Wieman, Florelle, Gertrude Pabst, Rositta Severus-Liedernit, Martha von Konssatzki",Two French Foreign Legionnaires are lost amid the shifting sands of the Sahara Desert when they stumble across the entrance to an underground world. Searching this new found subterranean ...,6.1,503,,,,,,4.0,30,die herrin von atlantis
tt0023480,Ancora sei ore di vita,6 Hours to Live,1932,1932-10-16,"Drama, Mystery, Sci-Fi",72,USA,English,William Dieterle,"Morton Barteaux, Bradley King",Fox Film Corporation,"Warner Baxter, Miriam Jordan, John Boles, George F. Marion, Halliwell Hobbes, Irene Ware, Beryl Mercer, Edward McWade, John Davidson, Edwin Maxwell, Dewey Robinson","A murder victim is brought back to life by a scientific experiment. However, the effects only last for six hours, and he must find his killer in that time.",6.3,117,,,,,9.0,4.0,29,6 hours to live
tt0023938,La distruzione del mondo,Deluge,1933,1934,"Drama, Sci-Fi",70,USA,English,Felix E. Feist,"S. Fowler Wright, John F. Goodrich",K.B.S. Productions Inc.,"Peggy Shannon, Lois Wilson, Sidney Blackmer, Matt Moore, Fred Kohler, Ralf Harolde, Edward Van Sloan, Samuel S. Hinds","A massive earthquake strikes the United States, which destroys the West Coast and unleashes a massive flood that threatens to destroy the East Coast as well.",6.3,350,$ 171000,,,,18.0,21.0,26,deluge
tt0023996,F.P.1,F.P.1,1933,1933-04-03,"Fantasy, Sci-Fi",93,"UK, France, Germany",English,Karl Hartl,"Curt Siodmak, Curt Siodmak",Gaumont British Picture Corporation,"Conrad Veidt, Jill Esmond, Leslie Fenton, George Merritt, Donald Calthrop, Alexander Field, Francis L. Sullivan, Warwick Ward, Nicholas Hannen, William Freshman, Philipp Manning","(1932) Conrad Veldt, Jill Esmond, Leslie Fenton. Right out of Amazing Stories. A gigantic floating platform is built in the mid-Atlantic for use as a oceanic airport. However, its ...",6.1,108,,,,,12.0,3.0,30,f.p.1
tt0024184,L'uomo invisibile,The Invisible Man,1933,1935-04-29,"Horror, Sci-Fi",71,USA,English,James Whale,"H.G. Wells, R.C. Sherriff",Universal Pictures,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers, Una O'Connor, Forrester Harvey, Holmes Herbert, E.E. Clive, Dudley Digges, Harry Stubbs, Donald Stuart, Merle Tottenham","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",7.7,29291,,,$ 27105,87.0,194.0,109.0,16,the invisible man
tt0024188,L'isola delle anime perdute,Island of Lost Souls,1932,1932-12-01,"Horror, Sci-Fi",70,USA,"English, Cantonese",Erle C. Kenton,"Waldemar Young, Philip Wylie",Paramount Pictures,"Charles Laughton, Richard Arlen, Leila Hyams, Bela Lugosi, Kathleen Burke, Arthur Hohl, Stanley Fields, Paul Hurst, Hans Steinke, Tetsu Komai, George Irving","An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",7.4,7933,$ 300000,,,,113.0,116.0,22,island of lost souls
tt0024216,King Kong,King Kong,1933,1933-12-02,"Adventure, Horror, Sci-Fi",100,USA,English,"Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose",RKO Radio Pictures,"Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher, Sam Hardy, Noble Johnson, Steve Clemente, James Flavin, King Kong",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,7.9,77507,$ 670000,,$ 651,90.0,511.0,162.0,41,king kong
