imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0009976,The Busher,The Busher,1919,1919-05-18,"Drama, Sport",63,USA,English,Jerome Storm,"R. Cecil Smith, Earle Snell",Thomas H. Ince Corporation,"Charles Ray, Colleen Moore, John Gilbert, Jay Morley, Otto Hoffman",A young baseball pitcher in the bush leagues is discovered by a big-league manager and given his chance in the major leagues. But will he be up to the challenge?,5.7,631,,,,,13.0,4.0,30,the busher
tt0010635,The Roaring Road,The Roaring Road,1919,1919-04-27,"Comedy, Drama, Sport",58,USA,English,James Cruze,"Byron Morgan, Marion Fairfax",Paramount Pictures,"Wallace Reid, Ann Little, Theodore Roberts, Guy Oliver, Clarence Geldart","A young man pursues a young lady with the same energy he applies to his other obsession in life, auto racing.",5.2,594,,,,,6.0,2.0,21,the roaring road
tt0016226,The Plastic Age,The Plastic Age,1925,1925-12-15,"Comedy, Romance, Sport",73,USA,English,Wesley Ruggles,"Frederica Sagor Maas, Percy Marks",B.P. Schulberg Productions,"Donald Keith, Mary Alden, Henry B. Walthall, Gilbert Roland, Clara Bow, David Butler","Hugh Carver is an athletic star and a freshman at Prescott College. He falls in love with Cynthia Day, a popular girl who loves to go to parties. He finds that it is impossible to please ...",6.0,269,,,,,11.0,2.0,37,the plastic age
tt0017534,L'allievo di West Point,West Point,1927,1929,"Drama, Romance, Sport",95,USA,,Edward Sedgwick,"Raymond L. Schrock, Joseph Farnham",Metro-Goldwyn-Mayer (MGM),"William Haines, Joan Crawford, William Bakewell, Neil Neely, Ralph Emerson, Leon Kellar, Raymond G. Moses","Wealthy Brice Wayne enters West Point and, though he does well on the football field, angers fellow cadets with his arrogance. Disciplined by the coach he yells ""To hell with the Corps!"" ...",6.4,1722,,,,,15.0,5.0,33,west point
tt0017832,L'atleta innamorato,The Drop Kick,1927,1927-09-25,"Drama, Sport",62,USA,English,Millard Webb,"Katharine Brush, Winifred Dunn",First National Pictures,"Richard Barthelmess, Barbara Kent, Dorothy Revier, Eugene Strong, Alberta Vaughn, James Bradbury Jr., Brooks Benedict, Hedda Hopper, Mayme Kelso, George C. Pearce",College football player Jack Hamill finds his reputation on the line when he pays an innocent visit to a woman whose husband kills himself.,4.8,206,,,,,7.0,2.0,24,the drop kick
tt0018253,Ferro e fuoco,The Patent Leather Kid,1927,1927-09-01,"Drama, Romance, Sport",150,USA,English,Alfred Santell,"Gerald C. Duffy, Winifred Dunn",First National Pictures,"Richard Barthelmess, Molly O'Day, Lawford Davidson, Matthew Betz, Arthur Stone, Ray Turner, Hank Mann, Walter James, Lucien Prival, Nigel De Brulier, Fred O'Beck, Clifford Salam, Henry Murdock, Charles Sullivan, John Kolb",A boxer has difficulty balancing his sport with a budding romance; both are further jeopardized when the United States enters the first World War.,5.8,468,,,,,4.0,2.0,24,the patent leather kid
tt0019400,The Smart Set,The Smart Set,1928,1928-03-24,"Comedy, Romance, Sport",80,USA,English,Jack Conway,"Byron Morgan, Ann Price",Metro-Goldwyn-Mayer (MGM),"William Haines, Jack Holt, Alice Day, Hobart Bosworth, Coy Watson, Constance Howard, Paul Nicholson, Julia Swayne Gordon","An American polo player, arrogant and full of himself, must vindicate his actions to win the heart of a girl, Polly, after getting himself booted off the U.S. polo team.",6.2,976,,,,,9.0,1.0,30,the smart set
tt0020359,Saluto militare,Salute,1929,1929-09-01,"Drama, Romance, Sport",84,USA,English,"David Butler, John Ford","Tristram Tupper, John Stone",Fox Film Corporation,"George O'Brien, Helen Chandler, William Janney, Stepin Fetchit, Frank Albertson, Joyce Compton, David Butler, Lumsden Hare, Clifford Dempsey, Ward Bond",West Point Cadet John and Annapolis Midshipman Frank focus their fraternal rivalry on the big Army-Navy football game.,5.5,156,,,,,3.0,2.0,18,salute
tt0020392,"Clem, bizzarro monello",The Shakedown,1929,1932-06-15,"Drama, Sport",70,USA,English,William Wyler,"Charles Logue, Charles Logue",Universal Pictures,"James Murray, Barbara Kent, George Kotsonaros, Wheeler Oakman, Jack Hanlon, Harry Gribbon",Dave Roberts is a professional boxer better at losing in fixed matches than in knocking out his opponents. He turns up in towns and is part of a group who sets up corrupt boxing matches. ...,6.3,116,$ 50000,,,,5.0,7.0,36,the shakedown
tt0020439,Cuori e motori,Speedway,1929,1929-09-07,"Drama, Romance, Sport",76,USA,,Harry Beaumont,"Byron Morgan, Ann Price",Metro-Goldwyn-Mayer (MGM),"William Haines, Anita Page, Ernest Torrence, Karl Dane, John Miljan, Eugenie Besserer, Polly Moran",Bill Whipple is a happy-go-lucky mechanic for MacDonald who thinks that he is the worlds greatest driver and lover. Mac has treated Bill like a son since he took him in. One day at the ...,6.1,602,,,,,5.0,4.0,36,speedway
tt0022425,Puro sangue,Sporting Blood,1931,1931-08-08,"Drama, Romance, Sport",82,USA,English,Charles Brabin,"Frederick Hazlitt Brennan, Charles Brabin",Metro-Goldwyn-Mayer (MGM),"Clark Gable, Ernest Torrence, Madge Evans, Lew Cody, Marie Prevost, Hallam Cooley, J. Farrell MacDonald, John Larkin, Eugene Jackson, Tommy Boy, Charles Curtis","The saga of thoroughbred Tommy Boy, born in a rain puddle, and his various owners as he evolves into a a champion stakes horse.",6.1,295,$ 302000,,,,15.0,6.0,24,sporting blood
tt0022682,The Big Timer,The Big Timer,1932,1932-03-10,"Drama, Sport",72,USA,English,Edward Buzzell,"Robert Riskin, Robert Riskin",Columbia Pictures,"Ben Lyon, Constance Cummings, Thelma Todd, Tom Dugan, Robert Emmett O'Connor, Charley Grapewin, Russell Hopton, Jack Miller","An up and coming boxer ( Ben Lyon) runs into problems when he takes on a women fight manager (Constance Cummings). Ben Lyon is once again playing with Tom Dugan [They co-starred in ""The Hot...",5.6,228,,,,,7.0,,35,the big timer
tt0022792,L'urlo della folla,The Crowd Roars,1932,1932-04-16,"Action, Drama, Sport",85,USA,English,Howard Hawks,"John Bright, Niven Busch",Warner Bros.,"James Cagney, Joan Blondell, Ann Dvorak, Eric Linden, Guy Kibbee, Frank McHugh, Billy Arnold, Leo Nomis, Fred Frame, Ralph Hepburn, Wilbur Shaw, Shorty Cantlon, Mel Keneally, Stubby Stubblefield",Sports car racer becomes overprotective of his brother when he decides to become a racer as well.,6.2,1028,,,,,24.0,14.0,17,the crowd roars
tt0022882,Il levriero del mare,Fast Life,1932,1932-12-16,"Comedy, Romance, Sport",82,USA,"English, Spanish","Harry A. Pollard, Sam Wood","Byron Morgan, Ralph Spence",Metro-Goldwyn-Mayer (MGM),"William Haines, Madge Evans, Conrad Nagel, Arthur Byron, Cliff Edwards, Warburton Gamble, Kenneth Thomson, Albert Gran, Ben Hendricks Jr.","Two sailors are leaving the US Navy after 10 years. In their spare time, one of them (Haines) invents a carburetor that should increase the speed that powered boats will run, but all that ...",5.7,496,,,,,10.0,1.0,35,fast life
