imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0003131,Maudite soit la guerre,Maudite soit la guerre,1914,1914-05-01,"Drama, War",50,Belgium,French,Alfred Machin,Alfred Machin,Belge Cinéma Film,"Baert, Suzanne Berni, Fernand Crommelynck, Nadia D'Angely, Henri Goidsen, Albert Hendrickx, Maurice Auzat, Renée Bailly, Georges Etienne, Zizi Festerat, Lucien Mussière, Réginald, Jane Tony","An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",6.5,124,,,,,2.0,2.0,37,maudite soit la guerre
tt0004972,Nascita di una nazione,The Birth of a Nation,1915,1915-03-21,"Drama, History, War",195,USA,None,D.W. Griffith,"Thomas Dixon Jr., Thomas Dixon Jr.",David W. Griffith Corp.,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper, Mary Alden, Ralph Lewis, George Siegmann, Walter Long, Robert Harron, Wallace Reid, Joseph Henabery, Elmer Clifton, Josephine Crowell, Spottiswoode Aitken, George Beranger","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",6.3,22213,$ 100000,,,,368.0,97.0,40,the birth of a nation
tt0005149,The Coward,The Coward,1915,1915-11-14,"Drama, History, War",77,USA,English,"Reginald Barker, Thomas H. Ince","Thomas H. Ince, Thomas H. Ince",Kay-Bee Pictures,"Frank Keenan, Charles Ray, Gertrude Claire, Patricia Palmer, Nick Cogley, Charles K. French, Minnie Devereaux","Colonel Winslow, veteran of the Mexican War, hopes for a great future for his only son, Frank. At the outbreak of the Civil War, a recruiting station is opened in the Virginia village where...",6.0,244,$ 18000,,,,15.0,3.0,34,the coward
tt0005719,Martyrs of the Alamo,Martyrs of the Alamo,1915,1915-11-21,"Drama, History, War",71,USA,English,Christy Cabanne,"Christy Cabanne, Theodosia Harris",Fine Arts Film Company,"Sam De Grasse, Allan Sears, Walter Long, Alfred Paget, Fred Burns, John T. Dillon, Juanita Hansen, Ora Carew, Tom Wilson, Augustus Carney",The story of the defense of the mission-turned-fortress by 185 Texans against an overwhelming Mexican army in 1836.,5.6,138,,,,,5.0,1.0,18,martyrs of the alamo
tt0008188,The Little American,The Little American,1917,1917-07-12,"Drama, Romance, War",80,USA,English,"Cecil B. DeMille, Joseph Levering",Jeanie Macpherson,Mary Pickford Company,"Mary Pickford, Jack Holt, Raymond Hatton, Hobart Bosworth, Walter Long, James Neill, Ben Alexander, Guy Oliver, Edythe Chapman, Lillian Leighton, DeWitt Jennings","A young American has her ship torpedoed by a German U-boat but makes it back to ancestral home in France, where she witnesses German brutality firsthand.",5.9,608,$ 166949,,,,12.0,5.0,26,the little american
tt0008663,Terje Vigen,Terje Vigen,1917,1917-01-29,"Drama, War",48,Sweden,,Victor Sjöström,Henrik Ibsen,Svenska Biografteatern AB,"Victor Sjöström, August Falck, Edith Erastoff, Bergliot Husberg","Terje Vigen, a sailor, suffers the loss of his family through the cruelty of another man. Years later, when his enemy's family finds itself dependent on Terje's beneficence, Terje must ...",7.4,1508,SEK 60000,,,,12.0,9.0,31,terje vigen
tt0009150,Cuori del mondo,Hearts of the World,1918,1918-06-01,"Drama, War",117,USA,English,D.W. Griffith,"D.W. Griffith, D.W. Griffith",D.W. Griffith Productions,"Lillian Gish, Robert Harron, Dorothy Gish, Adolph Lestina, Josephine Crowell, Jack Cosgrave, Kate Bruce, Ben Alexander, Marion Emmons, Francis Marion, Robert Anderson, George Fawcett, George Siegmann, Fay Holderness, L. Lowry",Young lovers in a French village are torn apart with the coming of the Great War.,6.4,906,,,,,16.0,12.0,16,hearts of the world
tt0009611,Charlot soldato,Shoulder Arms,1918,1918-10-27,"Comedy, War",45,USA,"None, English",Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Edna Purviance, Charles Chaplin, Syd Chaplin, Loyal Underwood, Henry Bergman, Tom Wilson, Albert Austin, Jack Wilson",Charlie is a boot camp private who has a dream of being a hero who goes on a daring mission behind enemy lines.,7.3,5895,,,,,38.0,21.0,23,shoulder arms
tt0009737,The Unbeliever,The Unbeliever,1918,1918-02-11,"Drama, War",80,USA,English,Alan Crosland,Mary Raymond Shipman Andrews,Perfection Pictures,"Marguerite Courtot, Raymond McKee, Erich von Stroheim, Kate Lester, Frank DeVernon, Mortimer Martine, Blanche Davenport, Harold Hollacher, Darwin Karr, Earl Schenck, Gertrude Norman, Lew Hart, Thomas Holcomb, J.F. Rorke, Moss Gill","A wealthy young American, bred to class distinction and racial intolerance, enters the Marines during the First World War. In the course of his training and his experiences in the trenches ...",5.9,109,,,,,5.0,1.0,32,the unbeliever
tt0010307,Per la patria,J'accuse,1919,1919-04-25,"Drama, Horror, War",166,France,French,Abel Gance,Abel Gance,Pathé Frères,"Romuald Joubé, Maxime Desjardins, Séverin-Mars, Angèle Guys, Maryse Dauvray, Mancini, Elizabeth Nizan, Pierre Danis, Blaise Cendrars, Paul Duc","The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.",7.7,1417,,,,,15.0,25.0,37,j'accuse
tt0012190,I quattro cavalieri dell'Apocalisse,The Four Horsemen of the Apocalypse,1921,1923-04-16,"Drama, Romance, War",150,USA,None,Rex Ingram,"Vicente Blasco Ibáñez, June Mathis",Metro Pictures Corporation,"Pomeroy Cannon, Josef Swickard, Bridgetta Clark, Rudolph Valentino, Virginia Warwick, Alan Hale, Mabel Van Buren, Stuart Holmes, John St. Polis, Alice Terry, Mark Fenton, Derek Ghent, Nigel De Brulier, Bowditch M. Turner, Edward Connelly",An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.,7.2,3058,$ 800000,$ 9183673,$ 9183673,,45.0,16.0,21,the four horsemen of the apocalypse
tt0016643,The Better 'Ole,The Better 'Ole,1926,1926-10-23,"Comedy, War, Drama",95,USA,"English, German",Charles Reisner,"Bruce Bairnsfather, Arthur Eliot",Warner Bros.,"Syd Chaplin, Harold Goodwin, Jack Ackroyd, Edgar Kennedy, Charles K. Gerrard",The adventures of Old Bill and his friends Bert and Alf in the trenches of the first World War.,6.3,217,$ 449000,,,,9.0,1.0,19,the better 'ole
tt0016947,Hands Up!,Hands Up!,1926,1926-01-11,"Action, Comedy, War",60,USA,English,Clarence G. Badger,"Reggie Morris, Monte Brice",Paramount Pictures,"Raymond Griffith, Marian Nixon, Virginia Lee Corbin, Mack Swain, Montagu Love, George A. Billings, Charles K. French, Noble Johnson","A southern spy during the Civil War, he must try to capture a shipment of gold. His task is complicated by the two sisters, the Indians and a firing squad.",6.6,213,,,,,9.0,3.0,30,hands up!
tt0017540,Gloria,What Price Glory,1926,1926-11-23,"Comedy, Drama, War",116,USA,,Raoul Walsh,"Maxwell Anderson, Malcolm Stuart Boylan",Fox Film Corporation,"Edmund Lowe, Victor McLaglen, Dolores del Rio, William V. Mong, Phyllis Haver, Elena Jurado, Leslie Fenton, Barry Norton, Sammy Cohen, Ted McNamara, August Tollaire, Mathilde Comont, Patrick Rooney","U.S. Marine sergeants Quirt and Flagg are inveterate romantic rivals on peacetime assignments in China and the Philippines. In 1917, W.W. I brings them to France, where Flagg, now a captain...",6.8,347,$ 360000,,,,8.0,7.0,31,what price glory
tt0018014,Hotel Imperial,Hotel Imperial,1927,1927-01-01,"Drama, War",85,USA,,Mauritz Stiller,"Lajos Biró, Jules Furthman",Paramount Pictures,"Pola Negri, James Hall, George Siegmann, Max Davidson, Michael Vavitch, Otto Fries, Nicholas Soussanin, Golden Wadhams, George Berrell","During World War I, a hotel maid and Austrian officer in hiding attempt to survive in a Russian-occupied town.",6.6,210,,,,,9.0,7.0,19,hotel imperial
tt0018045,Le joueur d'échecs,Le joueur d'échecs,1927,1927-07-20,"Drama, Fantasy, War",135,France,French,Raymond Bernard,"Raymond Bernard, Henry Dupuis-Mazuel",Société des Films Historiques,"Pierre Blanchar, Charles Dullin, Édith Jéhanne, Camille Bert, Pierre Batcheff, Marcelle Charles Dullin, Jackie Monnier, Armand Bernard, Alexiane, Pierre Hot, Jaime Devesa, Fridette Fatton","In 1776, an inventor conceals a Polish nobleman in his chess-playing automaton, a machine whose fame leads it to the court of the Russian empress.",6.8,263,,,,,6.0,12.0,25,le joueur d'échecs
tt0018578,Ali,Wings,1927,1929-01-05,"Drama, Romance, War",144,USA,English,"William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders, Hope Loring",Paramount Famous Lasky Corporation,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel, Richard Tucker, Gary Cooper, Gunboat Smith, Henry B. Walthall, Roscoe Karns, Julia Swayne Gordon, Arlette Marchal, Rod Rogers","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.",7.5,11139,$ 2000000,,$ 746,,95.0,92.0,23,wings
tt0018579,Winners of the Wilderness,Winners of the Wilderness,1927,1927-01-15,"Drama, History, War",68,USA,English,W.S. Van Dyke,"Marian Ainslee, Josephine Chippo",Metro-Goldwyn-Mayer (MGM),"Tim McCoy, Joan Crawford, Edward Connelly, Roy D'Arcy, Louise Lorraine, Edward Hearn, Tom O'Brien, Will Walling, Frank Currier, Lionel Belmore, Chief John Big Tree","Able wilderness fighter Colonel O'Hara loves Rene, daughter of the commander of the French forces during the French and Indian War. The Indians, under Pontiac, kidnap Rene. O'Hara hopes to rescue and wed her.",3.1,105,$ 80000,,,,2.0,1.0,34,winners of the wilderness
tt0018909,L'ultima gioia,Four Sons,1928,1928-02-13,"Drama, War",100,USA,English,John Ford,"Philip Klein, I.A.R. Wylie",Fox Film Corporation,"Margaret Mann, James Hall, Charles Morton, Francis X. Bushman Jr., George Meeker, June Collyer, Earle Foxe, Albert Gran, Frank Reicher, Archduke Leopold of Austria, Ferdinand Schumann-Heink, Jack Pennick","A family saga in which three of a Bavarian widow's sons go to war for Germany and the fourth goes to America, Germany's eventual opponent.",7.1,623,,,,,17.0,8.0,25,four sons
tt0018990,Heimkehr,Heimkehr,1928,1928-10-08,"Drama, Romance, War",78,Germany,German,Joe May,"Leonhard Frank, Joe May",Universum Film (UFA),"Lars Hanson, Dita Parlo, Gustav Fröhlich, Theodor Loos, Philipp Manning, Else Wasa","Following World War I, after a long imprisonment, two German prisoner-of-war soldiers escape from a Siberian lead-mine. Karl manages to reach Germany before Richard, and is sheltered by ...",6.9,154,,,,,4.0,3.0,29,heimkehr
tt0019098,Le sette aquile,Lilac Time,1928,1928-10-18,"Drama, Romance, War",80,USA,,"George Fitzmaurice, Frank Lloyd","Jane Cowl, Guy Fowler",First National Pictures,"Colleen Moore, Gary Cooper, Eugenie Besserer, Burr McIntosh, Kathryn McGuire, Cleve Moore, Arthur Lake, Richard Jarvis, Jack Stoney, Dan Dowling, Dick Grace, Stuart Knox, Jack Ponder, Harlan Hilton, George Cooper",All of those handsome young men in their flying machines are billeted in a field next to the Widow Berthelot's farmhouse in France. Her daughter Jeannine is curious about the young men ...,6.1,636,,,,,7.0,2.0,33,lilac time
tt0019286,Tempeste sull'Asia,Potomok Chingis-Khana,1928,1962-02-16,"Drama, War",127,Soviet Union,Russian,Vsevolod Pudovkin,"Osip Brik, I. Novokshenov",Mezhrabpomfilm,"Valéry Inkijinoff, I. Dedintsev, Aleksandr Chistyakov, Viktor Tsoppi, Fyodor Ivanov, V. Pro, Boris Barnet, Karl Gurnyak, Bilinskaya, I. Inkizhinov, Anel Sudakevich","After a run-in with the law, a Mongolian man becomes a fugitive and joins the Russian Civil War.",7.1,1803,,,,,14.0,15.0,18,potomok chingis-khana
